2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: AVAXUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: AVAXUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: AVAXUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: AVAXUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: AVAXUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: AVAXUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: AVAXUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: SOLUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: SOLUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: SOLUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: SOLUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: SOLUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: SOLUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: SOLUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: SOLUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: SOLUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: SOLUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: SOLUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: SOLUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: SOLUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: SOLUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: DOTUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: DOTUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: DOTUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: DOTUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: DOTUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: DOTUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: DOTUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: DOTUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: DOTUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,651 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: DOTUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,652 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: DOTUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,652 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: DOTUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,652 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: DOTUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,652 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: DOTUSDT - /root/trading_bot/bot_loop.py:517
